customer_key,prefix,first_name,last_name,birth_date,marital_status,gender,email_address,annual_income,total_children,education_level,occupation,home_owner,age
11000,MR.,Jon,Yang,1966-04-08,Married,Male,jon24@adventure-works.com,90000,2,Bachelors,Professional,Y,60
11001,MR.,Eugene,Huang,1965-05-14,Single,Male,eugene10@adventure-works.com,60000,3,Bachelors,Professional,N,61
11002,MR.,Ruben,Torres,1965-08-12,Married,Male,ruben35@adventure-works.com,60000,3,Bachelors,Professional,Y,61
11003,MS.,Christy,Zhu,1968-02-15,Single,Female,christy12@adventure-works.com,70000,0,Bachelors,Professional,N,58
11004,MRS.,Elizabeth,Johnson,1968-08-08,Single,Female,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,Y,58
11005,MR.,Julio,Ruiz,1965-08-05,Single,Male,julio1@adventure-works.com,70000,0,Bachelors,Professional,Y,61
11007,MR.,Marco,Mehta,1964-05-09,Married,Male,marco14@adventure-works.com,60000,3,Bachelors,Professional,Y,62
11008,MRS.,Robin,Verhoff,1964-07-07,Single,Female,rob4@adventure-works.com,60000,4,Bachelors,Professional,Y,62
11009,MR.,Shannon,Carlson,1964-04-01,Single,Male,shannon38@adventure-works.com,70000,0,Bachelors,Professional,N,62
11010,MS.,Jacquelyn,Suarez,1964-02-06,Single,Female,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,N,62
11011,MR.,Curtis,Lu,1963-11-04,Married,Male,curtis9@adventure-works.com,60000,4,Bachelors,Professional,Y,63
11012,MRS.,Lauren,Walker,1968-01-18,Married,Female,lauren41@adventure-works.com,100000,2,Bachelors,Management,Y,58
11013,MR.,Ian,Jenkins,1968-08-06,Married,Male,ian47@adventure-works.com,100000,2,Bachelors,Management,Y,58
11014,MRS.,Sydney,Bennett,1968-05-09,Single,Female,sydney23@adventure-works.com,100000,3,Bachelors,Management,N,58
11015,MS.,Chloe,Young,1979-02-27,Single,Female,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,N,47
11016,MR.,Wyatt,Hill,1979-04-28,Married,Male,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,Y,47
